State Code,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AL,Alabama,"4,785,437","4,799,069","4,815,588","4,830,081","4,841,799","4,852,347","4,863,525","4,874,486","4,887,681","4,903,185","5,031,864","5,050,380","5,073,903","5,108,468"
AK,Alaska,"713,910","722,128","730,443","737,068","736,283","737,498","741,456","739,700","735,139","731,545","732,964","734,923","733,276","733,406"
AZ,Arizona,"6,407,172","6,472,643","6,554,978","6,632,764","6,730,413","6,829,676","6,941,072","7,044,008","7,158,024","7,278,717","7,186,683","7,272,487","7,365,684","7,431,344"
AR,Arkansas,"2,921,964","2,940,667","2,952,164","2,959,400","2,967,392","2,978,048","2,989,918","3,001,345","3,009,733","3,017,804","3,014,348","3,028,443","3,046,404","3,067,732"
CA,California,"37,319,502","37,638,369","37,948,800","38,260,787","38,596,972","38,918,045","39,167,117","39,358,497","39,461,588","39,512,223","39,503,200","39,145,060","39,040,616","38,965,193"
CO,Colorado,"5,047,349","5,121,108","5,192,647","5,269,035","5,350,101","5,450,623","5,539,215","5,611,885","5,691,287","5,758,736","5,785,219","5,811,596","5,841,039","5,877,610"
CT,Connecticut,"3,579,114","3,588,283","3,594,547","3,594,841","3,594,524","3,587,122","3,578,141","3,573,297","3,571,520","3,565,287","3,577,586","3,603,691","3,608,706","3,617,176"
DE,Delaware,"899,593","907,381","915,179","923,576","932,487","941,252","948,921","956,823","965,479","973,764","991,862","1,004,881","1,019,459","1,031,890"
DC,District of Columbia,"605,226","619,800","634,924","650,581","662,328","675,400","685,815","694,906","701,547","705,749","670,839","669,037","670,949","678,972"
FL,Florida,"18,845,537","19,053,237","19,297,822","19,545,621","19,845,911","20,209,042","20,613,477","20,963,613","21,244,317","21,477,737","21,591,299","21,830,708","22,245,521","22,610,726"
GA,Georgia,"9,711,881","9,802,431","9,901,430","9,972,479","10,067,278","10,178,447","10,301,890","10,410,330","10,511,131","10,617,423","10,732,390","10,790,385","10,913,150","11,029,227"
HI,Hawaii,"1,363,963","1,379,329","1,394,804","1,408,243","1,414,538","1,422,052","1,427,559","1,424,393","1,420,593","1,415,872","1,451,181","1,446,745","1,439,399","1,435,138"
ID,Idaho,"1,570,746","1,583,910","1,595,324","1,611,206","1,631,112","1,651,059","1,682,380","1,717,715","1,750,536","1,787,065","1,849,339","1,904,537","1,938,996","1,964,726"
